Beer,Rating
Grimm Tetraplex,4.26
Grimm Tra La La,3.74
Grimm Utopos,3.97
Grimm Vacay,4.01
Grimm/Kane Waffling,3.55
Grolsch,3.6
Gueuzerie Tilquin Stout Rullquin,3.18
Guinness,3.59
Guinness Draught,3.59
Guinness Draught Nitro,3.94
Guinness Extra Stout,3.59
Guinness Foreign Extra Stout,3.57
Guinness Over The Moon,3.04
Gun Hill Cash and Carry,3.65
Gun Hill Maple Bacon Void of Light,4.1
Gun Hill Mosaic Soft Serve,3.98
Gun Hill Redcoat Resistance,4.12
Gun Hill Rise Up Rye,3.68
Gun Hill Rum Barrel Aged Fort Ticonderoga,3.59
Gun Hill/Non Sequitur Mean Mean Bean,3.27
Gun Hill/Urban Village Brother From Another Mother,4.27
Half Acre Daisy Cutter,3.87
Harpoon IPA,3.15
Harpoon Octoberfest,3.69
Harpoon UFO White,4.25
Heavy Seas Loose Cannon IPA,4.4
Heineken,4.26
Heineken 0.0,4.07
Heineken Lager,3.6
Hermit Thrush Dark at 4:30,3.33
Hill Farmstead Shirley Mae: Sunrise Edition NITRO,3.39
Hof ten Dormaal Barbera,3.47
Hof Ten Dormaal Barrel Aged Project 2014 (Dark Ale) Port Charlotte,4.19
Hofbräu Original,3.91
Hofbrau Hefeweizen,3.51
Hofbrau Munchen Maibock,3.33
Hokkaido Melon Ale,3.76
Hoof Hearted Ros� Gose,3.92
Hoppin' Frog Frog's Hollow Double Pumpkin Ale,3.51
Hopsecutioner,3.49
Horseheads Blueberry Ale,3.99
Hudson North Cider - Standard,3.8
Hudson Valley Feel No Way Light,3.52
Hudson Valley Kaizen,3.86
Hudson Valley Say No More,4.07
Hudson Valley Soleil-SIPA,3.75
Indian Ladder/Interboro Super Local,3.52
Industrial Arts Metric,3.41
Industrial Arts State Of The Art DDH Wheat Stout,3.94
Industrial Arts State Of The Art Pina Colada DIPA,4.04
Industrial Arts State Of The Art Wheat Lager,3.05
Industrial Arts Wrench IPA,3.67
"Industrial Arts YES FARMS, YES BEER",3.86
Interboro DDH Mad Fat Fluid IPA,4
Interboro Deep Cover,3.36
Interboro Diplo Hawk,3.69
Interboro Mad Fat Pride,3.73
Interboro Made You Look,3.48
